work_ID,work_species,work_author,trait_value_1.2.2,trait_value_1.6.3,trait_value_3.2.3,trait_value_4.1.3,agreement_1.2.2,cv_1.6.3,cv_3.2.3,cv_4.1.3,n_1.2.2,n_1.6.3,n_3.2.3,n_4.1.3,references_1.2.2,references_1.6.3,references_3.2.3,references_4.1.3
7,Abarema jupunba,(Willd.) Britton & Killip,tree,20,0.16,NA,0.944,NA,NA,NA,9,1,1,NA,"10203,10218,10219,10220,-10233,10246,10262,10223,10350,10250",10199,10255,NA
12,Abelia chinensis,R.Br.,shrub,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,-10233,NA,NA,NA
13,Abelmoschus crinitus,Wall.,herb,1.125,0.01802,NA,1,0.157,NA,NA,2,2,1,NA,"-10233,10243,10353","10199,10353",10255,NA
17,Abelmoschus sagittifolius,(Kurz) Merr.,herb,0.7,NA,NA,1,NA,NA,NA,2,1,NA,NA,"10243,10353",10353,NA,NA
18,Abies alba,Mill.,tree,50,0.0739425,58.7,1,NA,0.101,NA,1,1,2,1,"+10129,10216,-10233,10315",10191,"10191,10255",10191
19,Abies balsamea,(L.) Mill.,tree,18,0.0076,NA,1,NA,0.004,NA,1,1,2,NA,"+10129,-10233",10129,"10129,10255",NA
20,Abies firma,Siebold & Zucc.,tree,NA,0.040123,NA,1,NA,NA,NA,1,NA,1,NA,"+10129,10203,-10233",NA,10255,NA
21,Abies grandis,(Douglas ex D.Don) Lindl.,tree,48.6666666666667,0.0200015,NA,1,0.047,0.032,NA,1,3,2,NA,"+10129,-10233,10315","10129,10191,10328","10129,10255",NA
22,Abies kawakamii,(Hayata) Ito,tree,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,-10233,NA,NA,NA
23,Abies lasiocarpa,(Hook.) Nutt.,tree,27,0.01472666675,NA,1,NA,0.336,NA,1,1,4,NA,"+10129,-10233",10129,"10129,10255",NA
24,Abies nebrodensis,(Lojac.) Mattei,tree,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,-10233,NA,NA,NA
25,Abies nordmanniana,(Steven) Spach,tree,30,0.0714013335,NA,1,NA,0.214,NA,1,1,2,NA,"-10233,10315",10191,10255,NA
26,Abies pinsapo,Boiss.,tree,NA,0.0555,NA,1,NA,0.121,NA,2,NA,2,NA,"10218,-10233,10291",NA,10255,NA
27,Abies procera,Rehder,tree,70,0.033143625,NA,1,NA,0.092,NA,1,1,2,NA,"+10129,-10233",10129,"10129,10255",NA
28,Abies sachalinensis,(F.Schmidt) Mast.,tree,NA,0.00763241666666667,NA,1,NA,0.39,NA,1,NA,3,NA,-10233,NA,10255,NA
41,Abroma augusta,(L.) L.f.,tree,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,10203,NA,NA,NA
42,Abronia latifolia,Eschsch.,forb,NA,0.011592,NA,1,NA,NA,NA,1,NA,1,NA,+10129,NA,10255,NA
43,Abronia maritima,Nutt. ex S.Watson,forb,NA,0.00866,NA,1,NA,NA,NA,1,NA,1,NA,+10129,NA,10255,NA
44,Abronia umbellata,Lam.,forb,NA,0.006559,NA,1,NA,0.796,NA,1,NA,2,NA,+10129,NA,10255,NA
