accepted_name,sla,seedmass,height
Allium suaveolens,NA,0.001674,0.35
Biscutella laevigata,NA,0.00403633333333333,0.15
Carex ericetorum,NA,8.2e-4,0.135
Centaurea triumfettii,NA,0.0097333335,0.3
Chamaecytisus ratisbonensis,NA,0.005875,0.35
Danthonia alpina,NA,NA,0.225
Erica carnea,NA,8e-5,0.225
Euphorbia verrucosa,276.6,NA,0.4
Euphrasia micrantha,NA,NA,0.25
Euphrasia picta,NA,NA,0.15
Gentiana verna,NA,7.4e-5,0.032
Globularia cordifolia,NA,5.555e-4,0.02
Jacobaea vulgaris,NA,2.48667e-4,0.75
Lolium arundinaceum,NA,0.001994772,1.2
Lotus germanicus,NA,0.0024195,0.225
Orobanche gracilis,NA,NA,0.25
Pentanema hirtum,NA,0.00112,NA
Pentanema salicinum,NA,4.485e-4,0.525
Polygala amara,NA,0.0013,0.065
Potentilla cinerea,132.77,NA,0.085
Pulsatilla patens,NA,0.0022905,0.225
Scorzonera purpurea,NA,5.44e-4,0.35
Seseli annuum,NA,NA,0.5
Taraxacum campylodes,NA,NA,0.275
