id,plot,location,elevation,plot_size,treatment,treatment_age,mowing_age,mowing,survey_date,year,cover_vegetation,height_vegetation,parcel,block,year_topsoil_removal,year_hay_transfer,mowing_date,mowing_date_start,mowing_date_former,mowing_date_former_start,cover_soil_2024,grass_cover,graminoid_cover,richness_total,richness_R1A,richness_R22,richness_both,rlg_CR,rlg_VU,rlg_NT,rlg_EN,rlg,shannon,evenness,CWM_Height,CWM_Seed,CWM_SLA,botanist
X2003roederM01,M01,middle,469,4,control_2003,control_2003,NA,NA,NA,2003,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,2,27,32,18,7,7,1,7,11,0,19,2.88411,0.83218,0.20785,0.00308,5.11448,Daniela Röder
X2003roederM02,M02,middle,469,4,control_2003,control_2003,NA,NA,NA,2003,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,4,24,38,24,10,10,1,6,14,1,22,2.90093,0.79749,0.2341,0.00276,5.20087,Daniela Röder
X2003roederM03,M03,middle,469,4,control_2003,control_2003,NA,NA,NA,2003,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,5,38,38,23,9,9,1,11,13,0,25,2.67276,0.73476,0.19145,0.00278,5.11549,Daniela Röder
X2003roederM04,M04,middle,469,4,control_2003,control_2003,NA,NA,NA,2003,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,3,27,36,22,9,9,1,11,10,0,22,2.72865,0.76144,0.21118,0.00253,5.18087,Daniela Röder
X2003roederM05,M05,middle,469,4,control_2003,control_2003,NA,NA,NA,2003,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,4,26,32,23,9,9,1,7,8,1,17,2.59937,0.75002,0.184,0.00301,5.0553,Daniela Röder
X2003roederM06,M06,middle,469,4,control_2003,control_2003,NA,NA,NA,2003,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,2,42,36,19,8,8,1,10,11,0,22,2.8087,0.78378,0.20069,0.00293,5.12109,Daniela Röder
X2003roederM07,M07,middle,469,4,control_2003,control_2003,NA,NA,NA,2003,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,2,24,33,16,5,5,1,6,14,0,21,2.14125,0.61240000000000006,0.20907,0.00293,5.08468,Daniela Röder
X2003roederM08,M08,middle,469,4,control_2003,control_2003,NA,NA,NA,2003,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,11,22,32,22,8,8,1,4,12,0,17,2.26082,0.65233,0.26938,0.00438,5.32611,Daniela Röder
X2003roederM09,M09,middle,469,4,control_2003,control_2003,NA,NA,NA,2003,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,21,22,28,18,7,7,1,2,13,0,16,2.18047,0.65436,0.28221,0.0051,5.28485,Daniela Röder
X2003roederM10,M10,middle,469,4,control_2003,control_2003,NA,NA,NA,2003,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,1,51,31,18,8,8,1,4,15,0,20,2.12962,0.62016,0.21594,0.00302,5.279,Daniela Röder
