no,ID,plot,plot_old,block,dataset,year,herbHeight,herbCover,mossCover,litterCover,soilCover,botanist,plotSize,photoName_June,photoDate_June,photoName_April,photoDate_April,longitude,latitude
41,X84I1,I1,na,I,transects,1984,NA,NA,NA,NA,NA,Julia Liebermann,1,na,NA,na,NA,11.65279958775725,48.28763726337717
42,X84I2,I2,na,I,transects,1984,NA,NA,NA,NA,NA,Julia Liebermann,1,na,NA,na,NA,11.652866415658544,48.28771840302761
43,X84I3,I3,na,I,transects,1984,NA,NA,NA,NA,NA,Julia Liebermann,1,na,NA,na,NA,11.652933304594738,48.28779054967965
44,X84I4,I4,na,I,transects,1984,NA,NA,NA,NA,NA,Julia Liebermann,1,na,NA,na,NA,11.652986596947164,48.28788064162484
45,X84I5,I5,na,I,transects,1984,NA,NA,NA,NA,NA,Julia Liebermann,1,na,NA,na,NA,11.653053425460735,48.28796178116465
46,X84I6,I6,na,I,transects,1984,NA,NA,NA,NA,NA,Julia Liebermann,1,na,NA,na,NA,11.653106839788737,48.28803388713502
47,X84I7,I7,na,I,transects,1984,NA,NA,NA,NA,NA,Julia Liebermann,1,na,NA,na,NA,11.653173729473927,48.28810603364504
48,X84I8,I8,na,I,transects,1984,NA,NA,NA,NA,NA,Julia Liebermann,1,na,NA,na,NA,11.653227022575088,48.2881961254757
49,X84I9,I9,na,I,transects,1984,NA,NA,NA,NA,NA,Julia Liebermann,1,na,NA,na,NA,11.65328043739051,48.288268231363695
50,X84I10,I10,na,I,transects,1984,NA,NA,NA,NA,NA,Julia Liebermann,1,na,NA,na,NA,11.653347266872869,48.28834937072958
51,X84I11,I11,na,I,transects,1984,NA,NA,NA,NA,NA,Julia Liebermann,1,na,NA,na,NA,11.653400621273562,48.288430469518964
52,X84I12,I12,na,I,transects,1984,NA,NA,NA,NA,NA,Julia Liebermann,1,na,NA,na,NA,11.653467390425563,48.288520601772014
53,X84I13,I13,na,I,transects,1984,NA,NA,NA,NA,NA,Julia Liebermann,1,na,NA,na,NA,11.653520805915887,48.288592707545895
54,X84I14,I14,na,I,transects,1984,NA,NA,NA,NA,NA,Julia Liebermann,1,na,NA,na,NA,11.653587636200372,48.28867384676945
55,X84I15,I15,na,I,transects,1984,NA,NA,NA,NA,NA,Julia Liebermann,1,na,NA,na,NA,11.653640991317488,48.28875494544447
56,X84I16,I16,na,I,transects,1984,NA,NA,NA,NA,NA,Julia Liebermann,1,na,NA,na,NA,11.65370782200304,48.28883608459684
57,X84I17,I17,na,I,transects,1984,NA,NA,NA,NA,NA,Julia Liebermann,1,na,NA,na,NA,11.653761177478378,48.28891718321466
58,X84I18,I18,na,I,transects,1984,NA,NA,NA,NA,NA,Julia Liebermann,1,na,NA,na,NA,11.653814533122116,48.28899828180697
59,X84I19,I19,na,I,transects,1984,NA,NA,NA,NA,NA,Julia Liebermann,1,na,NA,na,NA,11.653881364398561,48.28907942085648
60,X84I20,I20,na,I,transects,1984,NA,NA,NA,NA,NA,Julia Liebermann,1,na,NA,na,NA,11.653934720400523,48.28916051939161
61,X84I21,I21,na,I,transects,1984,NA,NA,NA,NA,NA,Julia Liebermann,1,na,NA,na,NA,11.653988076570899,48.28924161790124
62,X84I22,I22,na,I,transects,1984,NA,NA,NA,NA,NA,Julia Liebermann,1,na,NA,na,NA,11.654054969068222,48.289313763890284
63,X84I23,I23,na,I,transects,1984,NA,NA,NA,NA,NA,Julia Liebermann,1,na,NA,na,NA,11.654121740516857,48.28940389575506
64,X84I24,I24,na,I,transects,1984,NA,NA,NA,NA,NA,Julia Liebermann,1,na,NA,na,NA,11.654161682275449,48.28947596076983
65,X84I25,I25,na,I,transects,1984,NA,NA,NA,NA,NA,Julia Liebermann,1,na,NA,na,NA,11.65422851472215,48.28955709961366
66,X84I26,I26,na,I,transects,1984,NA,NA,NA,NA,NA,Julia Liebermann,1,na,NA,na,NA,11.654295347380113,48.289638238418014
67,X84I27,I27,na,I,transects,1984,NA,NA,NA,NA,NA,Julia Liebermann,1,na,NA,na,NA,11.654335047237689,48.28974627519946
68,X84II1,II1,na,II,transects,1984,NA,NA,NA,NA,NA,Julia Liebermann,1,na,NA,na,NA,11.651597618903104,48.288029333169156
69,X84II2,II2,na,II,transects,1984,NA,NA,NA,NA,NA,Julia Liebermann,1,na,NA,na,NA,11.651664445404744,48.28811047350914
70,X84II3,II3,na,II,transects,1984,NA,NA,NA,NA,NA,Julia Liebermann,1,na,NA,na,NA,11.651717796889956,48.28819157307561
71,X84II4,II4,na,II,transects,1984,NA,NA,NA,NA,NA,Julia Liebermann,1,na,NA,na,NA,11.651784623792633,48.28827271334444
72,X84II5,II5,na,II,transects,1984,NA,NA,NA,NA,NA,Julia Liebermann,1,na,NA,na,NA,11.651837975636028,48.28835381285373
73,X84II6,II6,na,II,transects,1984,NA,NA,NA,NA,NA,Julia Liebermann,1,na,NA,na,NA,11.65189132764781,48.28843491233751
74,X84II7,II7,na,II,transects,1984,NA,NA,NA,NA,NA,Julia Liebermann,1,na,NA,na,NA,11.651958155141335,48.28851605250349
75,X84II8,II8,na,II,transects,1984,NA,NA,NA,NA,NA,Julia Liebermann,1,na,NA,na,NA,11.65201150751131,48.288597151930105
76,X84II14,II14,na,II,transects,1984,NA,NA,NA,NA,NA,Julia Liebermann,1,na,NA,na,NA,11.652358515266661,48.28909282223463
77,X84III1,III1,na,III,transects,1984,NA,NA,NA,NA,NA,Julia Liebermann,1,na,NA,na,NA,11.650395631699935,48.28842139032739
78,X84III2,III2,na,III,transects,1984,NA,NA,NA,NA,NA,Julia Liebermann,1,na,NA,na,NA,11.650448981494156,48.288502490474016
79,X84III3,III3,na,III,transects,1984,NA,NA,NA,NA,NA,Julia Liebermann,1,na,NA,na,NA,11.650502331456764,48.28858359059513
80,X84III16,III16,na,III,transects,1984,NA,NA,NA,NA,NA,Julia Liebermann,1,na,NA,na,NA,11.651276749938967,48.28963813460347
81,X93I1,I1,na,I,transects,1993,NA,NA,NA,NA,NA,Maria Höngdobler,1,na,NA,na,NA,11.65279958775725,48.28763726337717
82,X93I2,I2,na,I,transects,1993,NA,NA,NA,NA,NA,Maria Höngdobler,1,na,NA,na,NA,11.652866415658544,48.28771840302761
83,X93I3,I3,na,I,transects,1993,NA,NA,NA,NA,NA,Maria Höngdobler,1,na,NA,na,NA,11.652933304594738,48.28779054967965
84,X93I4,I4,na,I,transects,1993,NA,NA,NA,NA,NA,Maria Höngdobler,1,na,NA,na,NA,11.652986596947164,48.28788064162484
85,X93I5,I5,na,I,transects,1993,NA,NA,NA,NA,NA,Maria Höngdobler,1,na,NA,na,NA,11.653053425460735,48.28796178116465
86,X93I6,I6,na,I,transects,1993,NA,NA,NA,NA,NA,Maria Höngdobler,1,na,NA,na,NA,11.653106839788737,48.28803388713502
87,X93I7,I7,na,I,transects,1993,NA,NA,NA,NA,NA,Maria Höngdobler,1,na,NA,na,NA,11.653173729473927,48.28810603364504
88,X93I8,I8,na,I,transects,1993,NA,NA,NA,NA,NA,Maria Höngdobler,1,na,NA,na,NA,11.653227022575088,48.2881961254757
89,X93I9,I9,na,I,transects,1993,NA,NA,NA,NA,NA,Maria Höngdobler,1,na,NA,na,NA,11.65328043739051,48.288268231363695
90,X93I10,I10,na,I,transects,1993,NA,NA,NA,NA,NA,Maria Höngdobler,1,na,NA,na,NA,11.653347266872869,48.28834937072958
91,X93I11,I11,na,I,transects,1993,NA,NA,NA,NA,NA,Maria Höngdobler,1,na,NA,na,NA,11.653400621273562,48.288430469518964
92,X93I12,I12,na,I,transects,1993,NA,NA,NA,NA,NA,Maria Höngdobler,1,na,NA,na,NA,11.653467390425563,48.288520601772014
93,X93I13,I13,na,I,transects,1993,NA,NA,NA,NA,NA,Maria Höngdobler,1,na,NA,na,NA,11.653520805915887,48.288592707545895
94,X93I14,I14,na,I,transects,1993,NA,NA,NA,NA,NA,Maria Höngdobler,1,na,NA,na,NA,11.653587636200372,48.28867384676945
95,X93I15,I15,na,I,transects,1993,NA,NA,NA,NA,NA,Maria Höngdobler,1,na,NA,na,NA,11.653640991317488,48.28875494544447
96,X93I16,I16,na,I,transects,1993,NA,NA,NA,NA,NA,Maria Höngdobler,1,na,NA,na,NA,11.65370782200304,48.28883608459684
97,X93I17,I17,na,I,transects,1993,NA,NA,NA,NA,NA,Maria Höngdobler,1,na,NA,na,NA,11.653761177478378,48.28891718321466
98,X93I18,I18,na,I,transects,1993,NA,NA,NA,NA,NA,Maria Höngdobler,1,na,NA,na,NA,11.653814533122116,48.28899828180697
99,X93I19,I19,na,I,transects,1993,NA,NA,NA,NA,NA,Maria Höngdobler,1,na,NA,na,NA,11.653881364398561,48.28907942085648
100,X93I20,I20,na,I,transects,1993,NA,NA,NA,NA,NA,Maria Höngdobler,1,na,NA,na,NA,11.653934720400523,48.28916051939161
101,X93I21,I21,na,I,transects,1993,NA,NA,NA,NA,NA,Maria Höngdobler,1,na,NA,na,NA,11.653988076570899,48.28924161790124
102,X93I22,I22,na,I,transects,1993,NA,NA,NA,NA,NA,Maria Höngdobler,1,na,NA,na,NA,11.654054969068222,48.289313763890284
103,X93I23,I23,na,I,transects,1993,NA,NA,NA,NA,NA,Maria Höngdobler,1,na,NA,na,NA,11.654121740516857,48.28940389575506
104,X93I24,I24,na,I,transects,1993,NA,NA,NA,NA,NA,Maria Höngdobler,1,na,NA,na,NA,11.654161682275449,48.28947596076983
105,X93I25,I25,na,I,transects,1993,NA,NA,NA,NA,NA,Maria Höngdobler,1,na,NA,na,NA,11.65422851472215,48.28955709961366
106,X93I26,I26,na,I,transects,1993,NA,NA,NA,NA,NA,Maria Höngdobler,1,na,NA,na,NA,11.654295347380113,48.289638238418014
107,X93I27,I27,na,I,transects,1993,NA,NA,NA,NA,NA,Maria Höngdobler,1,na,NA,na,NA,11.654335047237689,48.28974627519946
108,X93II1,II1,na,II,transects,1993,NA,NA,NA,NA,NA,Maria Höngdobler,1,na,NA,na,NA,11.651597618903104,48.288029333169156
109,X93II2,II2,na,II,transects,1993,NA,NA,NA,NA,NA,Maria Höngdobler,1,na,NA,na,NA,11.651664445404744,48.28811047350914
110,X93II3,II3,na,II,transects,1993,NA,NA,NA,NA,NA,Maria Höngdobler,1,na,NA,na,NA,11.651717796889956,48.28819157307561
111,X93II4,II4,na,II,transects,1993,NA,NA,NA,NA,NA,Maria Höngdobler,1,na,NA,na,NA,11.651784623792633,48.28827271334444
112,X93II5,II5,na,II,transects,1993,NA,NA,NA,NA,NA,Maria Höngdobler,1,na,NA,na,NA,11.651837975636028,48.28835381285373
113,X93II6,II6,na,II,transects,1993,NA,NA,NA,NA,NA,Maria Höngdobler,1,na,NA,na,NA,11.65189132764781,48.28843491233751
114,X93II7,II7,na,II,transects,1993,NA,NA,NA,NA,NA,Maria Höngdobler,1,na,NA,na,NA,11.651958155141335,48.28851605250349
115,X93II8,II8,na,II,transects,1993,NA,NA,NA,NA,NA,Maria Höngdobler,1,na,NA,na,NA,11.65201150751131,48.288597151930105
116,X93II14,II14,na,II,transects,1993,NA,NA,NA,NA,NA,Maria Höngdobler,1,na,NA,na,NA,11.652358515266661,48.28909282223463
117,X93III1,III1,na,III,transects,1993,NA,NA,NA,NA,NA,Maria Höngdobler,1,na,NA,na,NA,11.650395631699935,48.28842139032739
118,X93III2,III2,na,III,transects,1993,NA,NA,NA,NA,NA,Maria Höngdobler,1,na,NA,na,NA,11.650448981494156,48.288502490474016
119,X93III3,III3,na,III,transects,1993,NA,NA,NA,NA,NA,Maria Höngdobler,1,na,NA,na,NA,11.650502331456764,48.28858359059513
120,X93III16,III16,na,III,transects,1993,NA,NA,NA,NA,NA,Maria Höngdobler,1,na,NA,na,NA,11.651276749938967,48.28963813460347
121,X18I1,I1,na,I,transects,2018,18,95,0,5,0,Markus Bauer,1,108-0213,2018-06-06,107-0951,2017-04-23,11.65279958775725,48.28763726337717
122,X18I2,I2,na,I,transects,2018,15,95,0,5,0,Markus Bauer,1,108-0214,2018-06-07,107-0952,2017-04-23,11.652866415658544,48.28771840302761
123,X18I3,I3,na,I,transects,2018,10,90,0,10,0,Markus Bauer,1,108-0215,2018-06-07,107-0953,2017-04-23,11.652933304594738,48.28779054967965
124,X18I4,I4,na,I,transects,2018,11,95,0,5,0,Markus Bauer,1,108-0220,2018-06-07,107-0954,2017-04-23,11.652986596947164,48.28788064162484
125,X18I5,I5,na,I,transects,2018,11,95,0,5,0,Markus Bauer,1,108-0222,2018-06-07,107-0955,2017-04-23,11.653053425460735,48.28796178116465
126,X18I6,I6,na,I,transects,2018,11,95,0,5,0,Markus Bauer,1,108-0223,2018-06-07,107-0956,2017-04-23,11.653106839788737,48.28803388713502
127,X18I7,I7,na,I,transects,2018,11,95,0,5,0,Markus Bauer,1,108-0235,2018-06-08,107-0958,2017-04-25,11.653173729473927,48.28810603364504
128,X18I8,I8,na,I,transects,2018,14,95,0,5,0,Markus Bauer,1,108-0236,2018-06-08,107-0959,2017-04-25,11.653227022575088,48.2881961254757
129,X18I9,I9,na,I,transects,2018,15,90,0,10,0,Markus Bauer,1,108-0237,2018-06-08,107-0960,2017-04-25,11.65328043739051,48.288268231363695
130,X18I10,I10,na,I,transects,2018,12,90,0,10,0,Markus Bauer,1,108-0238,2018-06-08,107-0961,2017-04-25,11.653347266872869,48.28834937072958
131,X18I11,I11,na,I,transects,2018,10,90,0,10,0,Markus Bauer,1,108-0239,2018-06-08,107-0962,2017-04-25,11.653400621273562,48.288430469518964
132,X18I12,I12,na,I,transects,2018,10,95,0,4,1,Markus Bauer,1,108-0245,2018-06-11,107-0963,2017-04-25,11.653467390425563,48.288520601772014
133,X18I13,I13,na,I,transects,2018,12,95,0,5,0,Markus Bauer,1,108-0246,2018-06-11,107-0964,2017-04-25,11.653520805915887,48.288592707545895
134,X18I14,I14,na,I,transects,2018,11,NA,NA,NA,NA,Markus Bauer,1,108-0247,2018-06-11,107-0965,2017-04-25,11.653587636200372,48.28867384676945
135,X18I15,I15,na,I,transects,2018,10,90,0,10,0,Markus Bauer,1,108-0248,2018-06-11,107-0966,2017-04-25,11.653640991317488,48.28875494544447
136,X18I16,I16,na,I,transects,2018,12,90,0,10,0,Markus Bauer,1,108-0249,2018-06-11,107-0967,2017-04-25,11.65370782200304,48.28883608459684
137,X18I17,I17,na,I,transects,2018,13,90,0,10,0,Markus Bauer,1,108-0252,2018-06-12,107-0968,2017-04-25,11.653761177478378,48.28891718321466
138,X18I18,I18,na,I,transects,2018,12,90,0,10,0,Markus Bauer,1,108-0253,2018-06-12,107-0969,2017-04-25,11.653814533122116,48.28899828180697
139,X18I19,I19,na,I,transects,2018,13,90,0,10,0,Markus Bauer,1,108-0254,2018-06-12,107-0970,2017-04-25,11.653881364398561,48.28907942085648
140,X18I20,I20,na,I,transects,2018,14,95,0,5,0,Markus Bauer,1,108-0255,2018-06-12,107-0971,2017-04-25,11.653934720400523,48.28916051939161
141,X18I21,I21,na,I,transects,2018,9,90,0,10,0,Markus Bauer,1,108-0256,2018-06-12,107-0972,2017-04-25,11.653988076570899,48.28924161790124
142,X18I22,I22,na,I,transects,2018,8,95,0,4,1,Markus Bauer,1,108-0257,2018-06-14,107-0973,2017-04-25,11.654054969068222,48.289313763890284
