plot,parcel,block,hay_transer,mowing_date,mowing_date_start,mowing_date_former,mowing_date_former_start,elevation,plot_size,treatment,mowing,survey_date_2024,botanist_2024,cover_vegetation_2024,cover_moss_2024,cover_litter_2024,cover_soil_2024,height_vegetation_2024,comments
res01,520E,520E,no,no,NA,NA,NA,469,4,topsoil_removal,2000,2024-06-08,Malte Knoeppler / Sina Appeltauer,35,60,3,7,12,
res02,520E,520E,no,no,NA,NA,NA,469,4,topsoil_removal,1990,2024-06-08,Malte Knoeppler / Sina Appeltauer,30,55,3,20,7,
res03,520E,520E,no,no,NA,NA,NA,469,4,topsoil_removal,2000,2024-06-08,Malte Knoeppler / Sina Appeltauer,50,55,1,10,6,
res04,520D,520D,1993,summer,2008,NA,NA,469,4,cut_summer,1990,2024-06-06,Maren Teschauer / Sina Appeltauer / Malte Knoeppler,70,80,70,1,35,
res05,520D,520D,1993,summer,2008,NA,NA,469,4,cut_summer,1990,2024-06-10,Maren Teschauer / Sina Appeltauer,90,5,50,5,45,
res06,520D,520D,1993,summer,2008,NA,NA,469,4,cut_summer,1990,2024-06-10,Maren Teschauer,50,60,90,3,39,
res07,520D,520D,1993,summer,2008,NA,NA,469,4,cut_summer,1990,2024-06-10,Sina Appeltauer,60,20,75,7,48,
res08,520D,520D,1993,summer,2008,NA,NA,469,4,cut_summer,1990,2024-06-10,Maren Teschauer / Sina Appeltauer,60,45,70,3,42,
res09,520/1B,520/1B,2004,summer,2009,NA,NA,469,4,cut_summer,2000,2024-06-10,Maren Teschauer / Sina Appeltauer,55,90,30,5,37,
res10,520/1B,520/1B,2004,summer,2010,NA,NA,469,4,cut_summer,2000,2024-06-06,Maren Teschauer / Sina Appeltauer / Malte Knoeppler,60,80,60,2,30,Dianthus daneben
res11,520/1B,520/1B,2004,summer,2011,NA,NA,469,4,cut_summer,2000,2024-06-10,Maren Teschauer,55,85,80,3,31,
res12,520/1A,520/1A,no,no,NA,NA,NA,469,4,topsoil_removal,2000,2024-06-06,Maren Teschauer / Sina Appeltauer / Malte Knoeppler,25,12,2,70,5,Dorycnium pentaphyllum Anthyllis vulneraria
res13,520/1A,520/1A,no,no,NA,NA,NA,469,4,topsoil_removal,2000,2024-06-08,Sina Appeltauer / Malte Knoeppler,30,70,2,20,11,
res14,520/1A,520/1A,no,no,NA,NA,NA,469,4,topsoil_removal,2000,2024-06-08,Sina Appeltauer / Malte Knoeppler,35,40,3,40,9,
res15,520/1A,520/1A,no,no,NA,NA,NA,469,4,topsoil_removal,2000,2024-06-08,Malte Knoeppler / Sina Appeltauer,25,30,2,65,9,
res16,520/1A,520/1A,no,no,NA,NA,NA,469,4,topsoil_removal,2000,2024-06-08,Malte Knoeppler / Sina Appeltauer,45,65,4,4,17,
res17,520/1A,520/1A,no,no,NA,NA,NA,469,4,topsoil_removal,2000,2024-06-08,Malte Knoeppler / Sina Appeltauer,15,7,1,80,2,Kaninchenspuren
res18,520/1A,520/1A,no,no,NA,NA,NA,469,4,topsoil_removal,2000,2024-06-08,Malte Knoeppler / Sina Appeltauer,25,85,5,10,9,
res19,519B,519B,no,no,NA,NA,NA,469,4,topsoil_removal,2000,2024-06-08,Malte Knoeppler / Sina Appeltauer,20,7,2,70,4,
res20,519B,519B,no,no,NA,NA,NA,469,4,topsoil_removal,2000,2024-06-08,Malte Knoeppler / Sina Appeltauer,20,50,1,35,3,Kaninchenbau daneben
res21,519B,519B,no,no,NA,NA,NA,469,4,topsoil_removal,2000,2024-06-08,Malte Knoeppler / Sina Appeltauer,40,15,2,45,12,
res22,515,515+517+518,2008,summer,2017,autumn,2012,469,4,cut_summer,2000,2024-06-12,Sina Appeltauer,40,60,70,3,27,sehr wenig Blüten
res23,515,515+517+518,2008,summer,2017,autumn,2012,469,4,cut_summer,2000,2024-06-12,Sina Appeltauer,45,60,60,5,32,
res24,515,515+517+518,2008,summer,2017,autumn,2012,469,4,cut_summer,2000,2024-06-12,Malte Knoeppler,55,60,55,10,30,
res25,518,515+517+518,2008,summer,2017,autumn,2012,469,4,cut_summer,2000,2024-06-12,Malte Knoeppler / Sina Appeltauer,55,35,70,7,0,
res26,518,515+517+518,2008,summer,2017,autumn,2012,469,4,cut_summer,2000,2024-06-12,Sina Appeltauer,45,50,75,8,36,
res27,518,515+517+518,2008,summer,2017,autumn,2012,469,4,cut_summer,2000,2024-06-12,Malte Knoeppler,60,85,25,5,25,
res28,518,515+517+518,2008,summer,2017,autumn,2012,469,4,cut_summer,2000,2024-06-12,Sina Appeltauer,50,70,80,1,28,
res29,512,512,2007,summer,2022,autumn,2011,469,4,cut_summer,2000,2024-06-10,Maren Teschauer,65,65,80,4,44,Richtung Westen: Ästige Graslilie Salvia pratensis Orobanche Oreoselinum majus Stachys recta
res30,512,512,2007,summer,2022,autumn,2011,469,4,cut_summer,2000,2024-06-10,Maren Teschauer,50,75,80,7,49,
res31,512,512,2007,summer,2022,autumn,2011,469,4,cut_summer,2000,2024-06-10,Sina Appeltauer,40,20,75,5,44,
res32,512,512,2007,summer,2022,autumn,2011,469,4,cut_summer,2000,2024-06-10,Sina Appeltauer,45,15,75,3,35,kaum Blüten nur Galium sehr viel Gras
res33,510A,510A,2005,autumn,2020,summer,2014,469,4,cut_autumn,2000,2024-06-11,Malte Knoeppler,60,40,60,20,35,
res34,510A,510A,2005,autumn,2020,summer,2014,469,4,cut_autumn,2000,2024-06-11,Malte Knoeppler,65,70,75,5,40,Rhinanthus glacialis daneben
res35,510A,510A,2005,autumn,2020,summer,2014,469,4,cut_autumn,2000,2024-06-11,Malte Knoeppler,55,35,80,5,40,
res36,510A,510A,2005,autumn,2020,summer,2014,469,4,cut_autumn,2000,2024-06-11,Malte Knoeppler,55,70,50,15,35,Galium verum daneben
