LastName	FirstName	DatasetID	Dataset	SpeciesName	AccSpeciesID	AccSpeciesName	ObservationID	ObsDataID	TraitID	TraitName	DataID	DataName	OriglName	OrigValueStr	OrigUnitStr	ValueKindName	OrigUncertaintyStr	UncertaintyName	Replicates	StdValue	UnitName	RelUncertaintyPercent	OrigObsDataID	ErrorRisk	Reference	Comment	StdValueStr	
Moles	Angela	28	Global Seed Mass, Plant Height Database	Taraxacum vulgare	99439	Taraxacum campylodes	1292044	8838184	26	Seed dry mass	30	Seed dry mass	dry seed mass (mg)	0.387	mg	Single				0.387	mg			1.2026	Moles, A. T., D. S. Falster, M. R. Leishman, and M. Westoby. 2004. Small-seeded species produce more seeds per square metre of canopy per year, but not per individual per lifetime. Journal of Ecology 92:384-396.			
Moles	Angela	28	Global Seed Mass, Plant Height Database	Taraxacum vulgare	99439	Taraxacum campylodes	1292044	8838181	26	Seed dry mass	177	Seed mass	original seed mass (mg)	0.387	mg	Single				0.387	mg			2.03481	Moles, A. T., D. S. Falster, M. R. Leishman, and M. Westoby. 2004. Small-seeded species produce more seeds per square metre of canopy per year, but not per individual per lifetime. Journal of Ecology 92:384-396.			
Moles	Angela	28	Global Seed Mass, Plant Height Database	Taraxacum vulgare	99439	Taraxacum campylodes	1292488	8844564	26	Seed dry mass	30	Seed dry mass	dry seed mass (mg)	0.952	mg	Single				0.952	mg			1.28459	Moles, A. T., D. S. Falster, M. R. Leishman, and M. Westoby. 2004. Small-seeded species produce more seeds per square metre of canopy per year, but not per individual per lifetime. Journal of Ecology 92:384-396.			
Moles	Angela	28	Global Seed Mass, Plant Height Database	Taraxacum vulgare	99439	Taraxacum campylodes	1292488	8844561	26	Seed dry mass	177	Seed mass	original seed mass (mg)	0.952	mg	Single				0.952	mg			1.2454	Moles, A. T., D. S. Falster, M. R. Leishman, and M. Westoby. 2004. Small-seeded species produce more seeds per square metre of canopy per year, but not per individual per lifetime. Journal of Ecology 92:384-396.			
Moles	Angela	28	Global Seed Mass, Plant Height Database	Taraxacum officinale	99439	Taraxacum campylodes	1299518	8914973	26	Seed dry mass	30	Seed dry mass	dry seed mass (mg)	0.54	mg	Single				0.54	mg			0.528743	Moles, A. T., D. S. Falster, M. R. Leishman, and M. Westoby. 2004. Small-seeded species produce more seeds per square metre of canopy per year, but not per individual per lifetime. Journal of Ecology 92:384-396.			
Moles	Angela	28	Global Seed Mass, Plant Height Database	Taraxacum officinale	99439	Taraxacum campylodes	1299518	8914969	26	Seed dry mass	177	Seed mass	original seed mass (mg)	0.54	mg	Single				0.54	mg			1.59259	Moles, A. T., D. S. Falster, M. R. Leishman, and M. Westoby. 2004. Small-seeded species produce more seeds per square metre of canopy per year, but not per individual per lifetime. Journal of Ecology 92:384-396.			
Moles	Angela	28	Global Seed Mass, Plant Height Database	Taraxacum officinale	99439	Taraxacum campylodes	1299530	8915272	26	Seed dry mass	30	Seed dry mass	dry seed mass (mg)	0.5	mg	Single				0.5	mg			0.559208	Moles, A. T., D. S. Falster, M. R. Leishman, and M. Westoby. 2004. Small-seeded species produce more seeds per square metre of canopy per year, but not per individual per lifetime. Journal of Ecology 92:384-396.			
Moles	Angela	28	Global Seed Mass, Plant Height Database	Taraxacum officinale	99439	Taraxacum campylodes	1299530	8915268	26	Seed dry mass	177	Seed mass	original seed mass (mg)	0.5	mg	Single				0.5	mg			1.69475	Moles, A. T., D. S. Falster, M. R. Leishman, and M. Westoby. 2004. Small-seeded species produce more seeds per square metre of canopy per year, but not per individual per lifetime. Journal of Ecology 92:384-396.			
Liu	Udayangani	21	KEW Seed Information Database (SID)	Taraxacum officinale agg.	99439	Taraxacum campylodes	55918	849282	26	Seed dry mass	30	Seed dry mass	1000SeedWeight	0.8	g / 1000 seeds	Single				0.8	mg			0.803939	Royal Botanical Gardens KEW. 2008. Seed Information Database (SID). Version 7.1. Available from: http://data.kew.org/sid/ (May 2008).			
Liu	Udayangani	21	KEW Seed Information Database (SID)	Taraxacum vulgare	99439	Taraxacum campylodes	57089	855057	26	Seed dry mass	30	Seed dry mass	1000SeedWeight	0.952	g / 1000 seeds	Single				0.952	mg		8844564	1.28459	Royal Botanical Gardens KEW. 2008. Seed Information Database (SID). Version 7.1. Available from: http://data.kew.org/sid/ (May 2008).			
Liu	Udayangani	21	KEW Seed Information Database (SID)	Taraxacum officinale agg.	99439	Taraxacum campylodes	58434	861755	26	Seed dry mass	30	Seed dry mass	1000SeedWeight	0.545	g / 1000 seeds	Single				0.545	mg			0.525095	Royal Botanical Gardens KEW. 2008. Seed Information Database (SID). Version 7.1. Available from: http://data.kew.org/sid/ (May 2008).			
Liu	Udayangani	21	KEW Seed Information Database (SID)	Taraxacum officinale agg.	99439	Taraxacum campylodes	59079	864980	26	Seed dry mass	30	Seed dry mass	1000SeedWeight	0.81	g / 1000 seeds	Single				0.81	mg			0.838264	Royal Botanical Gardens KEW. 2008. Seed Information Database (SID). Version 7.1. Available from: http://data.kew.org/sid/ (May 2008).			
Liu	Udayangani	21	KEW Seed Information Database (SID)	Taraxacum officinale agg.	99439	Taraxacum campylodes	64911	893298	26	Seed dry mass	30	Seed dry mass	1000SeedWeight	0.858	g / 1000 seeds	Single				0.858	mg			0.997336	Royal Botanical Gardens KEW. 2008. Seed Information Database (SID). Version 7.1. Available from: http://data.kew.org/sid/ (May 2008).			
Liu	Udayangani	21	KEW Seed Information Database (SID)	Taraxacum officinale agg.	99439	Taraxacum campylodes	66137	899428	26	Seed dry mass	30	Seed dry mass	1000SeedWeight	0.616	g / 1000 seeds	Single				0.616	mg			0.476618	Royal Botanical Gardens KEW. 2008. Seed Information Database (SID). Version 7.1. Available from: http://data.kew.org/sid/ (May 2008).			
Liu	Udayangani	21	KEW Seed Information Database (SID)	Taraxacum officinale	99439	Taraxacum campylodes	66143	899454	26	Seed dry mass	30	Seed dry mass	1000SeedWeight	0.54	g / 1000 seeds	Single				0.54	mg		8914973	0.528743	Royal Botanical Gardens KEW. 2008. Seed Information Database (SID). Version 7.1. Available from: http://data.kew.org/sid/ (May 2008).			
Liu	Udayangani	21	KEW Seed Information Database (SID)	Taraxacum officinale agg.	99439	Taraxacum campylodes	66155	899511	26	Seed dry mass	30	Seed dry mass	1000SeedWeight	0.54	g / 1000 seeds	Single				0.54	mg		8914973	0.528743	Royal Botanical Gardens KEW. 2008. Seed Information Database (SID). Version 7.1. Available from: http://data.kew.org/sid/ (May 2008).			
Liu	Udayangani	21	KEW Seed Information Database (SID)	Taraxacum officinale agg.	99439	Taraxacum campylodes	66532	901396	26	Seed dry mass	30	Seed dry mass	1000SeedWeight	0.378	g / 1000 seeds	Single				0.378	mg			1.26761	Royal Botanical Gardens KEW. 2008. Seed Information Database (SID). Version 7.1. Available from: http://data.kew.org/sid/ (May 2008).			
Liu	Udayangani	21	KEW Seed Information Database (SID)	Taraxacum officinale	99439	Taraxacum campylodes	67527	906371	26	Seed dry mass	30	Seed dry mass	1000SeedWeight	0.53	g / 1000 seeds	Single				0.53	mg			0.536142	Royal Botanical Gardens KEW. 2008. Seed Information Database (SID). Version 7.1. Available from: http://data.kew.org/sid/ (May 2008).			
Liu	Udayangani	21	KEW Seed Information Database (SID)	Taraxacum officinale agg.	99439	Taraxacum campylodes	70816	922732	26	Seed dry mass	30	Seed dry mass	1000SeedWeight	0.486	g / 1000 seeds	Single				0.486	mg			0.573204	Royal Botanical Gardens KEW. 2008. Seed Information Database (SID). Version 7.1. Available from: http://data.kew.org/sid/ (May 2008).			
Liu	Udayangani	21	KEW Seed Information Database (SID)	Taraxacum officinale agg.	99439	Taraxacum campylodes	70822	922762	26	Seed dry mass	30	Seed dry mass	1000SeedWeight	0.8	g / 1000 seeds	Single				0.8	mg			0.803939	Royal Botanical Gardens KEW. 2008. Seed Information Database (SID). Version 7.1. Available from: http://data.kew.org/sid/ (May 2008).			
Liu	Udayangani	21	KEW Seed Information Database (SID)	Taraxacum officinale agg.	99439	Taraxacum campylodes	70823	922767	26	Seed dry mass	30	Seed dry mass	1000SeedWeight	0.858	g / 1000 seeds	Single				0.858	mg			0.997336	Royal Botanical Gardens KEW. 2008. Seed Information Database (SID). Version 7.1. Available from: http://data.kew.org/sid/ (May 2008).			
Liu	Udayangani	21	KEW Seed Information Database (SID)	Taraxacum vulgare	99439	Taraxacum campylodes	72781	932315	26	Seed dry mass	30	Seed dry mass	1000SeedWeight	0.387	g / 1000 seeds	Single				0.387	mg		8838184	1.2026	Royal Botanical Gardens KEW. 2008. Seed Information Database (SID). Version 7.1. Available from: http://data.kew.org/sid/ (May 2008).			
Liu	Udayangani	21	KEW Seed Information Database (SID)	Taraxacum officinale	99439	Taraxacum campylodes	74572	940896	26	Seed dry mass	30	Seed dry mass	1000SeedWeight	0.5	g / 1000 seeds	Single				0.5	mg		8915272	0.559208	Royal Botanical Gardens KEW. 2008. Seed Information Database (SID). Version 7.1. Available from: http://data.kew.org/sid/ (May 2008).			
Liu	Udayangani	21	KEW Seed Information Database (SID)	Taraxacum officinale agg.	99439	Taraxacum campylodes	77695	955426	26	Seed dry mass	30	Seed dry mass	1000SeedWeight	0.68	g / 1000 seeds	Single				0.68	mg			0.43749	Royal Botanical Gardens KEW. 2008. Seed Information Database (SID). Version 7.1. Available from: http://data.kew.org/sid/ (May 2008).			
Liu	Udayangani	21	KEW Seed Information Database (SID)	Taraxacum officinale	99439	Taraxacum campylodes	79260	963167	26	Seed dry mass	30	Seed dry mass	1000SeedWeight	1.2	g / 1000 seeds	Single				1.2	mg			1.92429	Royal Botanical Gardens KEW. 2008. Seed Information Database (SID). Version 7.1. Available from: http://data.kew.org/sid/ (May 2008).			
Liu	Udayangani	21	KEW Seed Information Database (SID)	Taraxacum officinale agg.	99439	Taraxacum campylodes	79862	966144	26	Seed dry mass	30	Seed dry mass	1000SeedWeight	0.62	g / 1000 seeds	Single				0.62	mg			0.474056	Royal Botanical Gardens KEW. 2008. Seed Information Database (SID). Version 7.1. Available from: http://data.kew.org/sid/ (May 2008).			
Liu	Udayangani	21	KEW Seed Information Database (SID)	Taraxacum officinale agg.	99439	Taraxacum campylodes	80131	967489	26	Seed dry mass	30	Seed dry mass	1000SeedWeight	0.64	g / 1000 seeds	Single				0.64	mg		23945022	0.461488	Royal Botanical Gardens KEW. 2008. Seed Information Database (SID). Version 7.1. Available from: http://data.kew.org/sid/ (May 2008).			
